source_ip,destination_ip,bytes,packets,unique_dest_ips,total_bytes,packet_rate,timestamp,is_anomaly
116.168.166.50,38.202.204.190,5427,59,3,16281,9.77,2024-09-27 00:45:32,0
217.202.143.18,140.80.90.15,7144,44,3,21432,9.41,2024-10-01 04:35:01,0
101.121.74.141,85.153.197.101,6203,51,3,18609,10.6,2024-09-25 05:11:01,0
119.179.218.118,45.9.28.235,5209,43,3,15627,12.39,2024-10-03 17:37:11,0
46.38.63.102,146.160.193.13,4450,66,1,4450,13.04,2024-10-16 16:58:56,0
40.1.53.205,37.111.164.43,5020,42,4,20080,8.02,2024-10-04 05:37:40,0
99.25.170.56,103.215.112.48,3377,37,5,16885,9.84,2024-09-24 18:09:58,0
190.218.109.101,88.49.56.180,5717,45,1,5717,8.31,2024-10-11 00:29:25,0
88.134.4.27,191.80.199.65,5356,44,5,26780,10.05,2024-10-04 21:27:09,0
222.106.153.98,106.220.129.79,2503,63,4,10012,5.9,2024-09-23 21:52:30,0
162.205.190.93,182.84.5.160,15992,224,47,751624,81.49,2024-10-06 09:36:51,1
171.54.146.161,138.163.70.148,4219,48,3,12657,9.83,2024-09-18 12:18:40,0
86.58.176.228,169.225.154.188,6207,47,5,31035,10.11,2024-10-05 09:09:51,0
41.110.73.246,220.100.48.12,6259,52,2,12518,10.25,2024-10-07 03:53:51,0
190.69.68.130,205.60.211.216,4944,48,1,4944,10.93,2024-10-07 23:25:41,0
109.145.78.216,213.149.51.196,4586,62,3,13758,11.67,2024-10-15 17:27:17,0
222.88.90.91,181.254.181.206,4872,55,5,24360,10.6,2024-10-08 15:54:37,0
23.100.106.171,186.26.110.162,4838,53,1,4838,10.84,2024-10-08 09:07:02,0
21.165.4.161,149.4.98.135,5092,46,1,5092,9.6,2024-09-24 11:48:07,0
119.60.212.91,205.182.149.55,3727,37,2,7454,9.77,2024-10-12 04:21:54,0
123.234.33.147,28.0.25.145,4749,38,2,9498,12.46,2024-10-02 11:47:06,0
134.162.9.112,200.185.109.222,5684,55,5,28420,10.05,2024-09-28 09:33:31,0
38.180.224.67,150.16.27.144,5403,44,4,21612,11.41,2024-10-16 01:49:32,0
51.0.107.247,67.73.150.116,4009,39,3,12027,9.39,2024-09-22 05:55:20,0
86.144.242.114,64.117.192.252,3643,48,3,10929,9.95,2024-10-06 01:14:53,0
96.98.222.49,16.109.50.111,4824,41,3,14472,9.68,2024-10-08 07:38:01,0
78.78.227.29,140.185.210.149,4201,48,3,12603,10.59,2024-10-16 14:28:44,0
36.65.85.150,176.147.216.124,6864,55,5,34320,11.77,2024-09-18 15:57:38,0
197.65.163.146,23.241.76.78,5504,39,4,22016,9.52,2024-09-21 23:12:41,0
212.122.45.68,216.130.63.174,6488,54,4,25952,10.54,2024-10-07 22:51:19,0
149.153.199.209,129.211.182.35,3767,62,4,15068,13.9,2024-09-20 00:36:53,0
150.146.123.53,142.246.116.141,4836,62,3,14508,10.31,2024-10-14 22:59:09,0
90.139.152.155,135.83.153.20,28284,203,16,452544,108.37,2024-10-05 16:35:03,1
24.236.19.240,191.206.82.137,6223,58,3,18669,8.43,2024-09-26 10:57:47,0
109.36.174.61,99.209.137.58,4430,65,2,8860,9.52,2024-10-10 15:25:58,0
193.75.189.247,11.253.22.122,4608,46,4,18432,8.21,2024-09-28 05:16:31,0
111.40.199.224,97.195.218.113,4816,56,4,19264,8.3,2024-09-18 19:09:04,0
123.17.195.231,206.57.116.121,4846,44,5,24230,9.1,2024-10-17 15:30:55,0
148.7.192.51,199.6.147.187,5554,52,4,22216,8.19,2024-09-27 16:58:40,0
212.227.173.191,168.83.164.60,5236,40,1,5236,13.89,2024-09-20 07:45:52,0
100.19.97.171,161.222.89.220,5584,50,5,27920,12.55,2024-10-13 12:11:31,0
207.187.247.5,207.123.182.240,4994,61,3,14982,13.3,2024-09-28 14:42:27,0
151.169.245.189,67.38.236.191,4333,59,1,4333,12.1,2024-10-11 22:50:53,0
1.119.2.161,196.27.173.97,5675,53,1,5675,8.4,2024-09-25 10:28:59,0
109.47.58.119,56.36.212.127,2934,48,3,8802,13.58,2024-09-23 14:19:38,0
150.41.96.141,125.35.171.230,5149,61,1,5149,8.5,2024-09-28 17:34:14,0
142.157.27.135,76.70.202.137,4376,57,5,21880,8.32,2024-09-28 05:43:02,0
15.46.120.75,178.140.172.9,5633,49,4,22532,9.07,2024-09-21 20:25:11,0
55.48.234.49,35.67.150.218,5624,64,3,16872,9.1,2024-09-27 21:07:02,0
106.220.115.90,156.150.149.182,21526,132,49,1054774,123.76,2024-10-07 11:08:45,1
173.172.165.38,107.78.153.248,4722,58,2,9444,11.24,2024-09-18 21:58:05,0
139.162.23.207,26.123.118.71,3894,49,2,7788,10.31,2024-10-17 06:18:39,0
28.184.227.55,177.136.57.245,5636,55,2,11272,10.73,2024-09-18 12:11:15,0
185.8.163.59,144.109.115.235,4969,40,1,4969,9.08,2024-09-20 23:55:25,0
29.248.115.210,62.133.97.168,5088,56,5,25440,9.3,2024-10-04 18:33:17,0
155.192.127.181,88.86.128.50,6725,43,4,26900,10.26,2024-10-04 03:45:36,0
41.241.233.218,93.6.247.176,3756,48,5,18780,9.34,2024-09-20 11:34:11,0
138.229.205.55,23.226.39.157,4837,35,5,24185,12.01,2024-09-25 18:29:06,0
209.224.181.5,147.241.203.42,5543,47,5,27715,13.21,2024-10-03 20:00:17,0
15.61.44.15,165.66.15.122,6354,51,2,12708,9.15,2024-10-17 05:00:15,0
38.226.50.92,98.194.172.232,5970,41,3,17910,9.9,2024-10-10 03:45:54,0
206.119.16.111,215.239.100.187,4571,49,2,9142,6.94,2024-10-07 04:32:13,0
86.70.192.10,143.199.162.3,5341,39,2,10682,11.6,2024-10-09 11:53:02,0
213.210.2.145,156.236.31.95,5458,80,5,27290,9.1,2024-10-11 09:19:40,0
113.188.159.22,190.5.160.94,4426,38,4,17704,9.41,2024-09-22 06:55:29,0
25.173.203.154,100.254.117.152,6098,54,1,6098,8.26,2024-10-08 08:29:51,0
70.29.82.231,159.41.180.255,4353,51,4,17412,9.4,2024-10-01 08:28:25,0
218.126.59.133,3.228.228.159,5373,54,2,10746,6.76,2024-10-08 19:31:30,0
51.41.51.225,123.124.42.77,4255,43,5,21275,11.74,2024-10-08 16:49:31,0
46.180.41.77,52.10.207.115,5540,50,3,16620,11.51,2024-09-30 07:19:10,0
104.61.213.221,164.112.228.115,5116,33,4,20464,11.81,2024-10-14 22:06:25,0
49.132.177.107,31.51.243.9,5387,48,2,10774,7.96,2024-09-24 07:36:21,0
16.240.127.214,80.1.163.102,3470,43,4,13880,4.64,2024-09-22 17:37:22,0
177.190.204.87,202.71.29.188,5618,46,1,5618,6.95,2024-10-07 04:37:49,0
7.245.239.6,200.30.103.233,2910,51,4,11640,9.39,2024-09-26 23:51:28,0
201.58.107.27,97.140.5.200,4424,45,1,4424,9.86,2024-10-03 16:51:09,0
50.32.252.180,143.184.231.203,5303,44,4,21212,8.53,2024-09-30 12:20:01,0
27.202.186.193,117.48.246.36,4781,54,2,9562,11.94,2024-09-24 21:25:30,0
141.5.82.95,185.157.209.246,5213,54,3,15639,8.51,2024-10-09 05:50:25,0
80.53.205.38,74.53.182.182,5401,47,4,21604,9.24,2024-09-19 04:27:02,0
215.34.203.41,130.186.138.39,6432,48,2,12864,11.37,2024-10-09 16:33:27,0
35.61.191.115,39.132.195.110,5546,42,3,16638,8.31,2024-09-24 16:31:28,0
47.97.129.188,32.218.244.251,4809,57,3,14427,10.25,2024-09-24 10:33:17,0
43.0.119.209,111.237.107.88,6087,63,4,24348,10.49,2024-10-16 14:40:33,0
108.82.77.3,219.16.215.205,8251,37,2,16502,11.45,2024-10-16 10:31:31,0
199.62.6.30,77.179.235.50,5696,47,3,17088,6.7,2024-10-14 05:20:01,0
9.99.34.217,104.188.243.154,3268,45,4,13072,7.25,2024-09-23 22:53:58,0
212.55.122.235,114.27.103.107,4773,45,3,14319,10.43,2024-09-29 09:03:48,0
140.226.154.55,55.89.253.37,6907,58,1,6907,7.55,2024-10-06 09:22:33,0
143.251.73.131,103.12.211.243,4603,63,1,4603,7.48,2024-10-14 07:15:46,0
171.22.241.58,210.141.251.249,5505,59,4,22020,13.52,2024-09-21 16:26:10,0
20.208.211.186,164.33.81.245,3928,36,2,7856,8.59,2024-10-07 13:00:20,0
196.197.131.239,21.0.97.22,16491,176,10,164910,103.47,2024-09-26 12:52:55,1
139.51.171.63,68.121.91.206,4724,65,2,9448,9.34,2024-09-25 17:51:15,0
69.230.212.255,145.30.240.12,5790,56,1,5790,13.24,2024-09-21 15:00:55,0
1.227.168.21,34.161.24.173,4544,44,3,13632,8.6,2024-09-22 11:47:55,0
19.70.201.37,191.44.252.19,5088,28,4,20352,6.7,2024-09-19 22:15:34,0
206.83.231.113,24.167.130.40,6099,39,1,6099,10.14,2024-09-20 02:36:13,0
3.178.152.78,55.165.52.15,3855,39,5,19275,10.2,2024-10-10 09:40:24,0
86.209.89.207,144.206.155.33,5971,38,1,5971,10.5,2024-10-10 22:16:47,0
41.83.251.18,149.145.217.82,6156,34,3,18468,10.45,2024-10-15 07:26:04,0
102.39.32.226,223.0.171.125,7014,49,2,14028,7.81,2024-09-21 20:16:57,0
11.100.125.43,187.186.127.201,6437,55,4,25748,6.55,2024-10-13 04:57:47,0
4.147.113.107,26.103.178.51,3527,65,2,7054,9.78,2024-09-19 05:28:00,0
168.28.23.0,187.82.174.253,4897,58,5,24485,10.65,2024-09-26 05:26:47,0
131.134.219.51,143.53.190.148,4055,36,2,8110,6.18,2024-09-20 16:27:29,0
166.12.36.66,39.220.79.133,4925,43,5,24625,10.13,2024-10-04 22:23:29,0
66.160.147.131,22.221.210.18,5397,49,4,21588,9.18,2024-10-04 18:19:35,0
24.121.45.149,168.237.157.93,6981,39,4,27924,9.42,2024-10-02 13:33:24,0
115.165.51.194,169.154.53.79,5853,48,4,23412,7.77,2024-10-07 13:50:36,0
196.5.225.87,51.166.93.200,3465,53,2,6930,8.98,2024-09-27 04:41:18,0
26.11.154.83,215.53.33.74,4607,45,1,4607,8.57,2024-10-13 10:48:04,0
173.104.245.106,109.208.203.149,3547,51,2,7094,13.42,2024-09-20 03:05:06,0
30.102.113.4,163.128.83.195,4705,41,1,4705,13.09,2024-10-11 15:15:41,0
161.197.188.191,6.240.145.125,5696,53,5,28480,8.38,2024-09-21 15:58:04,0
154.180.38.116,87.220.197.24,4987,43,3,14961,4.62,2024-09-21 02:43:56,0
83.145.70.189,38.138.225.8,4317,46,5,21585,8.99,2024-10-09 20:19:18,0
114.18.121.161,129.5.176.0,4429,23,2,8858,10.18,2024-10-03 18:15:52,0
88.55.233.152,31.110.230.167,4455,40,4,17820,7.24,2024-10-10 01:55:51,0
191.6.255.93,32.76.142.7,5848,40,1,5848,10.61,2024-10-09 20:51:28,0
170.40.222.174,2.105.169.47,3850,56,1,3850,7.35,2024-10-04 14:12:52,0
183.55.70.187,164.32.229.245,5493,40,3,16479,11.49,2024-09-19 02:21:43,0
214.147.38.49,65.136.124.55,4166,41,1,4166,6.99,2024-09-24 22:59:06,0
111.153.71.253,82.92.115.107,6311,42,2,12622,11.03,2024-09-29 02:29:21,0
112.249.68.152,153.98.112.100,6184,42,3,18552,10.78,2024-09-28 08:01:21,0
211.188.91.8,167.95.218.227,5917,29,5,29585,9.83,2024-09-29 01:19:49,0
83.67.219.199,112.74.119.255,4551,46,2,9102,8.72,2024-10-01 21:20:28,0
136.102.118.218,193.238.138.200,5422,33,2,10844,10.51,2024-09-19 10:12:22,0
154.127.25.211,1.5.185.105,5986,57,4,23944,14.17,2024-09-18 14:47:38,0
58.79.128.88,26.123.214.250,7061,48,3,21183,13.37,2024-10-14 03:08:44,0
121.241.55.253,91.44.16.222,4144,24,4,16576,7.14,2024-10-10 22:14:14,0
177.28.207.255,202.62.87.246,4732,48,1,4732,9.84,2024-09-24 09:03:41,0
199.72.8.161,182.178.111.205,6316,64,4,25264,10.56,2024-09-27 17:39:44,0
141.82.35.61,141.153.73.148,28671,174,45,1290195,109.71,2024-10-06 20:43:19,1
206.119.107.188,193.110.157.48,4303,68,1,4303,12.57,2024-10-07 11:50:31,0
173.255.246.148,12.163.213.100,5327,26,4,21308,10.61,2024-09-26 20:52:23,0
205.249.75.219,115.77.16.236,3531,44,2,7062,10.71,2024-10-17 01:13:02,0
190.119.40.224,194.58.37.169,5173,64,4,20692,10.84,2024-10-17 19:09:55,0
32.246.158.54,88.33.3.32,5729,46,3,17187,8.1,2024-10-08 17:30:34,0
203.0.193.73,84.243.230.104,3316,53,2,6632,11.79,2024-09-24 18:56:41,0
85.158.14.156,221.101.46.125,5508,44,4,22032,10.15,2024-10-14 16:11:41,0
185.149.46.109,73.69.66.36,4169,58,4,16676,6.41,2024-10-01 23:14:11,0
71.120.69.126,63.129.40.69,6032,49,3,18096,8.76,2024-10-17 09:04:42,0
137.100.107.231,8.164.240.109,5835,52,4,23340,8.58,2024-10-02 02:15:01,0
192.89.145.206,10.79.93.30,4503,60,5,22515,8.96,2024-10-10 07:06:17,0
192.10.55.126,82.201.140.202,4510,49,3,13530,10.42,2024-09-23 03:40:29,0
25.52.36.150,40.198.200.48,4976,41,2,9952,10.2,2024-09-21 12:45:05,0
19.172.169.51,134.29.214.73,5476,47,2,10952,9.39,2024-10-04 03:06:01,0
150.128.98.108,153.71.215.9,24259,255,46,1115914,114.95,2024-09-23 13:50:56,1
40.169.0.19,92.157.188.87,5887,42,5,29435,8.72,2024-10-16 22:10:58,0
103.252.96.191,69.179.200.167,5856,54,2,11712,11.51,2024-10-03 20:03:05,0
16.85.59.104,74.83.158.108,6175,59,5,30875,8.84,2024-10-16 09:04:23,0
178.119.45.56,154.55.15.135,3793,46,1,3793,11.37,2024-10-13 20:19:31,0
210.9.51.138,208.52.122.149,17811,280,46,819306,72.64,2024-09-29 23:00:53,1
18.86.92.106,26.57.30.241,7108,50,1,7108,9.85,2024-09-28 22:53:23,0
210.171.226.20,138.50.193.134,4725,55,5,23625,12.86,2024-09-29 11:03:40,0
211.218.73.99,203.90.83.140,6168,57,3,18504,11.97,2024-10-13 22:30:33,0
66.166.221.31,10.106.234.20,7005,36,2,14010,10.19,2024-10-04 21:00:36,0
81.187.23.179,133.228.155.251,4801,40,5,24005,7.61,2024-10-15 07:08:06,0
78.221.102.124,197.0.51.151,5375,46,1,5375,8.98,2024-10-17 10:55:41,0
46.28.71.172,7.250.29.35,4302,51,2,8604,8.16,2024-09-25 11:56:08,0
123.92.13.188,150.133.42.24,22477,226,32,719264,76.79,2024-10-10 15:48:00,1
208.204.166.64,157.169.160.24,5284,39,4,21136,10.34,2024-09-25 07:40:40,0
19.171.55.196,53.54.247.146,6385,41,3,19155,11.32,2024-09-21 00:17:12,0
24.255.49.81,5.145.41.21,5349,33,4,21396,9.89,2024-10-17 15:34:08,0
10.166.2.223,36.130.171.220,4258,40,4,17032,10.42,2024-10-14 14:07:22,0
16.130.55.42,157.241.250.151,4706,54,5,23530,9.02,2024-09-22 14:31:49,0
41.224.239.14,23.170.41.172,4615,66,5,23075,10.72,2024-10-03 03:46:45,0
185.145.209.149,168.168.135.173,3002,59,1,3002,10.73,2024-09-29 15:55:01,0
84.165.116.164,157.30.117.140,5698,64,4,22792,10.0,2024-10-05 01:53:58,0
83.61.82.76,178.182.24.248,5523,53,1,5523,11.16,2024-09-28 16:17:43,0
88.161.111.238,66.224.159.39,4272,50,1,4272,8.1,2024-10-10 15:37:34,0
72.251.160.34,20.66.21.129,5783,58,3,17349,7.05,2024-10-02 18:14:00,0
141.118.224.240,83.118.21.233,5141,48,1,5141,7.64,2024-09-28 02:44:49,0
84.54.144.183,92.73.50.68,4057,46,5,20285,7.36,2024-10-08 18:30:28,0
71.44.23.20,207.16.199.11,4058,55,2,8116,14.14,2024-10-07 11:06:39,0
96.186.6.197,91.188.159.250,5498,51,1,5498,8.56,2024-09-22 22:15:53,0
100.138.204.140,204.50.122.75,6538,56,3,19614,7.86,2024-09-29 07:04:49,0
49.36.53.70,178.59.214.185,5557,55,3,16671,5.75,2024-10-10 01:14:45,0
188.119.163.232,201.244.158.138,4813,62,3,14439,9.3,2024-10-01 07:15:01,0
94.138.144.114,211.151.126.199,4791,47,3,14373,8.16,2024-09-26 18:30:51,0
222.158.34.168,175.149.88.171,4280,58,1,4280,11.77,2024-09-30 11:33:07,0
150.119.129.1,190.73.75.135,4399,46,4,17596,10.28,2024-10-07 20:07:10,0
208.146.229.27,121.11.131.188,5232,49,1,5232,13.14,2024-10-15 04:14:11,0
126.144.25.125,175.105.172.62,4679,60,5,23395,6.8,2024-09-27 05:56:16,0
90.128.73.211,71.38.82.58,3623,48,1,3623,12.8,2024-10-01 07:10:43,0
44.210.236.86,183.135.63.115,5252,50,3,15756,9.27,2024-10-05 04:06:41,0
68.51.199.189,85.36.1.179,5181,41,5,25905,10.48,2024-10-15 21:05:06,0
202.62.95.165,37.152.67.182,6372,48,2,12744,9.87,2024-09-20 13:07:56,0
187.237.42.110,116.171.15.146,5077,54,4,20308,10.65,2024-10-01 08:18:00,0
69.62.93.49,86.177.90.116,3939,46,1,3939,10.18,2024-10-17 03:33:27,0
204.237.216.157,35.216.181.70,7496,59,2,14992,8.33,2024-10-08 13:16:41,0
121.207.85.39,219.255.116.46,4373,53,4,17492,7.0,2024-10-14 09:56:17,0
20.230.116.44,41.217.49.255,4523,52,2,9046,8.0,2024-10-12 02:30:45,0
40.176.94.115,101.236.232.134,3305,62,2,6610,12.05,2024-09-23 03:29:19,0
4.113.21.0,103.110.202.43,4289,49,1,4289,12.69,2024-10-14 18:41:18,0
103.183.80.131,56.245.66.21,5849,46,2,11698,7.87,2024-10-15 23:42:34,0
160.3.73.1,84.5.235.140,26015,225,28,728420,87.57,2024-10-02 11:39:23,1
63.146.66.72,81.157.58.100,5528,42,5,27640,7.38,2024-09-19 07:22:09,0
123.6.45.25,208.78.35.29,4666,47,5,23330,8.4,2024-10-07 08:23:07,0
150.221.179.93,208.217.94.236,5148,55,3,15444,8.28,2024-10-11 01:38:04,0
131.111.54.115,124.45.31.13,5090,69,3,15270,9.12,2024-09-27 12:12:47,0
94.255.29.117,164.32.45.32,4913,34,3,14739,8.03,2024-10-05 12:14:58,0
66.11.208.34,43.225.59.72,4565,62,4,18260,12.55,2024-09-30 03:45:30,0
71.236.230.57,190.199.97.100,4638,55,4,18552,10.26,2024-09-17 21:16:12,0
153.8.66.229,22.219.206.136,5914,39,2,11828,8.89,2024-10-10 01:47:13,0
84.76.132.174,41.32.15.0,5455,42,1,5455,12.92,2024-10-11 18:22:33,0
82.255.151.155,100.237.71.8,5049,54,2,10098,9.07,2024-09-26 21:31:38,0
166.135.35.102,133.252.141.122,4508,53,5,22540,9.66,2024-10-11 04:01:32,0
138.176.8.70,6.156.115.173,4820,51,3,14460,15.31,2024-09-20 08:42:19,0
164.199.204.95,132.41.23.29,3343,54,4,13372,6.71,2024-10-09 01:29:26,0
171.149.85.172,212.27.239.176,5814,31,4,23256,13.31,2024-10-08 00:38:57,0
145.166.161.212,110.199.161.74,5286,58,2,10572,11.46,2024-10-02 17:36:16,0
154.210.90.245,146.130.193.222,3466,45,1,3466,7.84,2024-09-20 18:39:29,0
75.136.153.76,147.39.145.180,4588,63,5,22940,11.85,2024-10-08 05:05:15,0
41.186.238.237,88.4.26.93,4938,71,4,19752,8.95,2024-09-20 16:52:15,0
102.142.54.72,145.108.132.144,4715,49,5,23575,7.46,2024-09-29 07:07:54,0
160.214.168.230,206.113.19.237,3081,50,4,12324,10.68,2024-09-25 06:24:12,0
100.239.131.197,163.218.27.16,6896,39,5,34480,10.01,2024-10-09 21:21:28,0
61.58.162.205,135.74.82.90,5395,44,5,26975,11.87,2024-10-17 15:30:30,0
153.146.174.233,222.241.137.8,3356,61,4,13424,11.22,2024-10-17 14:44:30,0
87.193.55.32,49.19.27.199,5158,34,2,10316,9.09,2024-09-27 09:12:25,0
22.127.208.17,63.96.158.252,6321,39,3,18963,10.88,2024-10-02 07:38:38,0
103.162.220.5,135.165.167.90,3893,64,5,19465,11.97,2024-09-20 04:33:22,0
42.51.122.159,173.220.36.220,4779,37,3,14337,6.07,2024-09-20 12:40:05,0
156.56.13.58,19.50.248.98,3932,55,3,11796,10.7,2024-10-13 08:37:02,0
10.124.174.234,189.91.167.80,5765,41,5,28825,11.35,2024-09-18 22:17:29,0
23.195.245.218,39.253.38.197,4699,63,2,9398,7.7,2024-10-12 12:00:59,0
30.208.142.244,170.156.131.179,5001,50,2,10002,10.85,2024-09-23 23:07:31,0
203.231.76.198,180.230.192.137,5943,45,3,17829,9.88,2024-09-19 05:17:54,0
1.81.159.70,128.146.81.29,5808,50,1,5808,6.69,2024-10-04 09:10:20,0
47.176.41.31,199.15.109.94,4376,36,1,4376,9.18,2024-09-23 03:33:42,0
115.186.7.51,212.20.89.209,4450,53,3,13350,10.65,2024-09-22 07:14:56,0
212.5.40.245,198.171.49.49,3764,59,2,7528,6.77,2024-10-16 17:57:14,0
26.6.32.64,151.119.220.20,5350,45,4,21400,12.99,2024-10-10 15:26:47,0
209.176.26.62,117.231.85.117,3851,56,1,3851,7.49,2024-10-09 13:50:33,0
39.109.72.48,218.216.170.150,3218,38,3,9654,9.17,2024-09-29 20:49:07,0
144.235.48.59,44.34.171.175,4917,60,4,19668,14.15,2024-10-08 09:07:00,0
109.17.46.118,199.237.6.79,4818,51,1,4818,9.52,2024-09-20 23:44:29,0
4.133.121.114,45.0.183.12,5574,62,1,5574,11.21,2024-09-30 02:47:10,0
24.52.224.80,15.39.205.241,6125,57,4,24500,9.13,2024-09-21 07:49:26,0
195.245.194.120,8.170.201.0,4478,46,2,8956,7.22,2024-10-05 07:58:14,0
129.176.148.254,181.243.14.254,4591,61,1,4591,8.65,2024-10-09 12:37:13,0
141.103.184.42,155.6.59.226,5774,44,4,23096,8.84,2024-09-18 20:06:50,0
61.104.234.89,28.142.216.72,6243,54,1,6243,6.83,2024-09-25 02:22:59,0
130.14.188.137,155.201.149.65,3893,39,5,19465,11.12,2024-09-23 01:17:04,0
55.61.3.168,165.18.167.92,4809,51,2,9618,5.72,2024-09-23 19:56:15,0
159.36.28.128,68.220.116.227,5244,55,1,5244,9.1,2024-10-05 14:42:03,0
134.34.11.99,42.130.105.71,5355,56,2,10710,8.24,2024-09-29 10:36:03,0
204.179.86.238,95.123.233.26,5462,49,2,10924,12.8,2024-09-26 05:46:57,0
11.72.39.208,50.121.112.33,7340,38,4,29360,10.69,2024-09-23 09:31:32,0
144.1.197.84,28.167.79.39,23312,100,28,652736,95.53,2024-10-13 10:35:32,1
140.28.184.184,196.248.162.255,27364,191,33,903012,115.86,2024-10-12 06:30:23,1
196.173.0.125,79.27.60.181,3499,52,3,10497,9.78,2024-10-07 16:27:01,0
222.67.112.208,24.125.142.218,15411,164,26,400686,129.23,2024-09-18 23:28:49,1
71.147.63.56,57.56.95.245,21285,157,31,659835,114.81,2024-10-04 07:32:04,1
11.23.207.122,101.109.219.243,11513,207,22,253286,72.11,2024-10-16 03:45:17,1
108.111.161.81,63.16.27.226,5970,51,4,23880,13.68,2024-10-12 03:46:45,0
146.206.139.75,81.116.40.7,7400,52,3,22200,11.81,2024-09-25 00:23:27,0
222.224.81.190,56.89.42.230,28063,221,25,701575,106.28,2024-10-07 03:00:37,1
1.52.3.45,205.107.23.75,4521,49,5,22605,10.97,2024-09-19 04:55:40,0
22.250.141.96,3.24.40.53,20911,152,15,313665,109.4,2024-10-14 17:39:51,1
3.112.228.232,59.178.230.227,4305,47,4,17220,11.25,2024-10-17 03:25:47,0
8.28.50.75,68.34.41.158,5102,43,2,10204,10.48,2024-10-07 02:23:44,0
148.93.211.22,205.177.94.119,4626,38,5,23130,9.5,2024-10-13 10:25:38,0
30.243.251.86,27.152.144.255,5007,53,3,15021,11.18,2024-09-26 02:53:27,0
44.105.198.26,41.89.176.130,2423,64,1,2423,10.26,2024-10-10 00:31:43,0
158.132.68.23,14.216.241.157,4406,59,4,17624,10.32,2024-09-19 04:30:32,0
173.6.32.177,77.65.244.237,4765,34,3,14295,10.32,2024-09-30 05:03:47,0
23.209.188.221,190.78.239.231,5513,37,2,11026,9.31,2024-09-21 01:05:35,0
148.191.25.16,45.164.226.190,5308,32,5,26540,9.33,2024-09-25 02:11:00,0
200.74.70.19,60.29.57.90,7082,52,4,28328,11.56,2024-10-02 17:44:02,0
28.248.221.54,149.197.248.144,6644,47,3,19932,11.65,2024-10-12 03:07:34,0
174.164.0.241,56.208.160.142,6365,62,4,25460,9.75,2024-10-12 22:42:51,0
133.18.254.113,162.113.30.10,5068,67,5,25340,10.09,2024-10-01 11:59:25,0
202.242.61.56,23.11.155.187,4746,37,3,14238,8.02,2024-09-29 09:42:38,0
83.119.26.144,186.32.12.250,3146,40,4,12584,9.33,2024-09-27 03:17:01,0
18.90.186.130,15.119.34.225,4126,59,3,12378,8.47,2024-10-04 01:21:52,0
217.64.108.181,185.215.168.152,4935,46,1,4935,9.35,2024-10-04 22:14:02,0
212.51.117.227,115.184.154.231,6148,59,5,30740,8.64,2024-10-01 15:35:34,0
40.239.90.56,139.13.122.43,25990,181,37,961630,83.22,2024-10-05 03:20:09,1
4.37.209.180,78.102.2.138,19463,193,35,681205,68.82,2024-10-06 07:58:11,1
46.106.138.24,98.224.77.172,5407,71,2,10814,12.38,2024-09-29 01:09:50,0
189.136.169.65,159.39.136.100,3561,45,3,10683,12.42,2024-09-20 19:38:58,0
139.17.25.222,113.53.22.36,6461,56,3,19383,9.25,2024-09-21 02:34:10,0
102.66.39.199,68.163.105.8,4483,34,1,4483,11.51,2024-10-14 06:21:39,0
38.21.109.145,210.194.141.134,5460,46,1,5460,10.07,2024-10-12 07:38:25,0
194.149.194.220,144.26.76.156,5363,64,5,26815,7.94,2024-10-13 12:19:32,0
183.252.104.234,184.252.28.146,2656,45,4,10624,8.7,2024-10-05 09:31:07,0
147.113.129.169,171.139.255.56,4684,69,2,9368,11.54,2024-09-23 10:06:42,0
84.66.50.159,165.14.179.250,3558,52,3,10674,11.73,2024-10-11 21:34:39,0
16.233.55.253,139.38.117.216,4291,46,2,8582,8.1,2024-09-23 03:40:42,0
152.242.175.106,106.59.196.114,4740,42,2,9480,11.32,2024-09-28 03:16:30,0
120.72.4.229,97.221.240.43,4864,31,4,19456,6.29,2024-10-11 11:33:14,0
12.251.111.10,77.162.240.192,4453,42,1,4453,12.31,2024-09-20 10:16:01,0
189.25.72.201,62.249.141.48,5532,38,5,27660,11.28,2024-10-11 17:19:53,0
136.20.75.210,58.224.19.134,4020,58,1,4020,11.68,2024-09-25 19:13:03,0
104.18.181.125,12.128.199.132,6267,40,2,12534,12.39,2024-10-07 20:20:55,0
208.213.141.192,183.207.4.156,4300,46,5,21500,7.87,2024-10-10 01:34:57,0
94.12.210.200,165.136.119.131,5414,41,2,10828,12.89,2024-10-12 10:55:39,0
128.142.173.233,16.218.49.197,5202,29,4,20808,8.72,2024-10-15 17:19:23,0
171.123.114.60,167.48.250.122,5302,40,2,10604,10.96,2024-10-12 07:43:44,0
153.55.173.179,167.97.232.73,4295,56,1,4295,8.98,2024-09-29 10:06:47,0
82.85.44.0,30.37.71.2,4250,42,3,12750,10.07,2024-09-23 08:54:44,0
103.95.252.46,135.108.112.62,4726,48,2,9452,4.69,2024-10-01 11:27:29,0
77.240.240.26,21.138.20.84,22406,178,35,784210,92.29,2024-09-26 09:51:49,1
208.60.53.0,169.213.60.99,3289,50,2,6578,7.19,2024-09-27 08:14:06,0
5.194.107.209,1.79.217.45,6137,63,2,12274,5.75,2024-10-11 15:40:57,0
165.68.206.174,167.79.209.253,5111,31,5,25555,10.85,2024-10-07 20:51:09,0
